frame	osa     sroa	vicon	draw	total
0.006	0.010	0.001	0.008	0.000	0.024
0.006	0.010	0.000	0.008	0.000	0.025
0.009	0.016	0.000	0.010	0.000	0.036
0.020	0.019	0.000	0.013	0.000	0.053
0.030	0.004	0.001	0.013	0.000	0.048
0.008	0.013	0.001	0.008	0.000	0.030
0.006	0.011	0.000	0.009	0.000	0.026
0.007	0.010	0.000	0.011	0.000	0.028
0.008	0.010	0.001	0.010	0.016	0.045
0.011	0.004	0.001	0.014	0.000	0.030
0.008	0.009	0.000	0.013	0.000	0.031
0.009	0.015	0.000	0.012	0.000	0.037
0.012	0.007	0.001	0.012	0.000	0.031
0.011	0.009	0.001	0.013	0.000	0.034
0.018	0.003	0.001	0.012	0.000	0.033
0.009	0.010	0.001	0.011	0.000	0.030
0.007	0.008	0.001	0.010	0.000	0.026
0.008	0.012	0.001	0.010	0.000	0.031
0.009	0.015	0.000	0.014	0.019	0.058
0.006	0.008	0.001	0.012	0.000	0.028
0.012	0.008	0.049	0.011	0.000	0.081
0.033	0.029	0.000	0.011	0.000	0.074
0.008	0.009	0.001	0.013	0.000	0.031
0.013	0.009	0.001	0.014	0.000	0.036
0.008	0.012	0.001	0.017	0.000	0.038
0.012	0.007	0.001	0.023	0.000	0.042
0.006	0.009	0.000	0.007	0.000	0.022
0.006	0.010	0.000	0.009	0.000	0.025
0.005	0.011	0.000	0.009	0.015	0.040
0.012	0.007	0.004	0.014	0.000	0.037
0.021	0.012	0.001	0.010	0.000	0.043
0.007	0.012	0.000	0.012	0.000	0.032
0.006	0.009	0.000	0.008	0.000	0.023
0.006	0.017	0.000	0.010	0.000	0.034
0.007	0.009	0.001	0.010	0.000	0.027
0.011	0.021	0.000	0.011	0.000	0.043
0.006	0.020	0.003	0.016	0.000	0.045
0.009	0.011	0.001	0.012	0.000	0.033
0.019	0.004	0.001	0.013	0.017	0.053
0.009	0.005	0.000	0.009	0.000	0.023
0.010	0.007	0.001	0.013	0.000	0.031
0.009	0.030	0.000	0.009	0.000	0.049
0.010	0.007	0.000	0.022	0.000	0.040
0.009	0.011	0.000	0.014	0.000	0.034
0.008	0.012	0.000	0.014	0.000	0.034
0.010	0.014	0.001	0.012	0.000	0.036
0.020	0.039	0.000	0.009	0.000	0.068
0.007	0.014	0.001	0.011	0.000	0.033
0.009	0.010	0.000	0.013	0.023	0.055
0.004	0.010	0.002	0.012	0.000	0.027
0.008	0.013	0.001	0.012	0.000	0.034
0.010	0.010	0.001	0.011	0.000	0.031
0.009	0.011	0.000	0.009	0.000	0.029
0.006	0.012	0.000	0.009	0.000	0.028
0.009	0.009	0.000	0.011	0.000	0.028
0.007	0.013	0.000	0.008	0.000	0.027
0.007	0.019	0.052	0.009	0.000	0.086
0.031	0.031	0.000	0.011	0.000	0.073
0.008	0.011	0.001	0.012	0.016	0.047
0.010	0.007	0.057	0.010	0.000	0.084
0.059	0.005	0.000	0.014	0.000	0.078
0.008	0.011	0.000	0.010	0.000	0.030
0.007	0.017	0.041	0.010	0.000	0.075
0.039	0.031	0.001	0.014	0.000	0.085
0.009	0.009	0.001	0.014	0.000	0.033
0.022	0.003	0.047	0.010	0.000	0.083
0.028	0.034	0.000	0.012	0.000	0.074
0.016	0.003	0.000	0.014	0.000	0.035
0.009	0.009	0.000	0.016	0.020	0.055
0.025	0.006	0.000	0.012	0.000	0.044
0.008	0.011	0.000	0.008	0.000	0.027
0.006	0.011	0.000	0.009	0.000	0.026
0.006	0.010	0.000	0.007	0.000	0.023
0.007	0.011	0.001	0.010	0.000	0.028
0.026	0.005	0.047	0.008	0.000	0.087
0.027	0.029	0.000	0.007	0.000	0.064
0.008	0.014	0.000	0.011	0.000	0.034
0.024	0.025	0.000	0.011	0.000	0.061
0.006	0.014	0.001	0.014	0.019	0.054
0.006	0.003	0.001	0.012	0.000	0.022
0.029	0.004	0.001	0.012	0.000	0.046
0.011	0.008	0.000	0.010	0.000	0.029
0.011	0.012	0.044	0.011	0.000	0.079
0.031	0.033	0.000	0.013	0.000	0.078
0.008	0.009	0.000	0.013	0.000	0.031
0.007	0.011	0.000	0.012	0.000	0.031
0.010	0.011	0.001	0.011	0.000	0.032
0.020	0.010	0.000	0.009	0.000	0.040
0.021	0.023	0.001	0.010	0.017	0.072
0.005	0.012	0.001	0.015	0.000	0.032
0.020	0.010	0.045	0.010	0.000	0.085
0.025	0.029	0.001	0.008	0.000	0.063
